player_id,player_name,team,pos,sources,G,Carries,RuYds,RuTD,Rec,ReYds,ReTD,FumLost,PYds,PTD,INT,NFC_ADP
18783,"Justin Fields",NYJ,qb,clay|cbs|nfl,16,87.7,766.3,6.7,0,0,0,0.3,3276.3,18.7,11,110.4
17963,"J.K. Dobbins",DEN,rb,clay|cbs|nfl,15.5,101,660.3,5,34,211.3,1,1,0,0,0,113.2
21125,"Drake Maye",NE,qb,clay|cbs|nfl,16.5,51.7,526.7,3,0,0,0,1.7,3614.3,24,13.3,113.6
22067,"Tyler Warren",IND,te,clay|cbs|nfl,16.5,1.7,13.7,0,61,693,5,1,0,0,0,113.8
17997,"Jordan Love",GB,qb,clay|cbs|nfl,16.5,27.3,156,1.7,0,0,0,0.3,3990,27,12.3,116.6
18771,"Javonte Williams",DAL,rb,clay|cbs|nfl,16,95,516,4.3,33,221,0.7,0.3,0,0,0,117.7
20280,"C.J. Stroud",HST,qb,clay|cbs|nfl,16.5,34.7,228.7,1.3,0,0,0,1.3,4096.7,25.7,10.7,118.6
21130,"Keon Coleman",BUF,wr,clay|cbs|nfl,16.5,0,2,0,49.7,801,6.3,0.3,0,0,0,119.8
22077,"Cam Skattebo",NYG,rb,clay|cbs|nfl,16.5,86.3,547.3,3.7,26.3,207.3,1,1,0,0,0,119.9
18169,"Darnell Mooney",ATL,wr,clay|cbs|nfl,15,0,1.7,0,57.7,822.7,4.3,0.3,0,0,0,119.9
18826,"Najee Harris",LAC,rb,clay|cbs|nfl,16.5,87.7,539.7,4.3,20.7,151.3,0.3,0.7,0,0,0,122.2
18791,"Rhamondre Stevenson",NE,rb,clay|cbs|nfl,16,112.3,665,5.7,29.7,192,1.3,1,0,0,0,123.1
20312,"Tucker Kraft",GB,te,clay|cbs|nfl,16.5,0,0,0,57,668,5,0.7,0,0,0,123.6
16132,"Christian Kirk",HST,wr,clay|cbs|nfl,16.5,0,3,0,55,711,3.7,0.7,0,0,0,127.2
21150,"J.J. McCarthy",MIN,qb,clay|cbs|nfl,16.5,37.7,264.7,2,0,0,0,1.3,4061.3,27.3,15,128.2
18779,"Trevor Lawrence",JAX,qb,clay|cbs|nfl,16.5,38,257,3.7,0,0,0,1.3,4037,24,13.3,128.4
20293,"Marvin Mims",DEN,wr,clay|cbs|nfl,16.5,7.3,52,0.3,45.7,623,5,0.3,0,0,0,129.6
